#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DiscoveryStudio
#Serial Number: SN:210384B8330D
#Date Time: 2026-04-13 15:47:02.862
#Sample rate: 1600Hz
#Samples: 37608
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-81.92,-0.006724103874471406,0.02215938986567536
-81.919375,-0.03383536699522847,0.09365883341696965
-81.91875,-0.03316595309101224,0.09365883341696965
-81.918125,-0.03383536699522847,0.0933215718907843
-81.9175,-0.03617831565998525,0.09365883341696965
-81.916875,-0.03383536699522847,0.093996094943155
-81.91625000000001,-0.03450478089943495,0.09365883341697456
-81.91562500000001,-0.03450478089944469,0.09365883341696965
-81.91500000000001,-0.03417007394734145,0.09365883341696965
-81.91437500000001,-0.037517143468369,0.09332157189078921
-81.91374999999999,-0.03517419480363169,0.09298431036459895
-81.91312499999999,-0.03316595309105121,0.09298431036459895
-81.91249999999999,-0.03584360870778459,0.09298431036459895
-81.91187499999999,-0.02948417661777918,0.09298431036459895
-81.91125,-0.02647181404885001,0.09298431036459895
-81.910625,-0.02781064185728246,0.0933215718907843
-81.91,-0.02747593490517435,0.093996094943155
-81.909375,-0.02680652100095812,0.09500787952171105
-81.90875,-0.0261371070967419,0.09568240257408175
-81.908125,-0.0261371070967419,0.0960196641002671
-81.9075,-0.02580240014463379,0.09635692562645246
-81.906875,-0.02546769319252568,0.0960196641002671
-81.90625,-0.02580240014463379,0.0953451410478964
-81.905625,-0.02647181404885001,0.09433335646934035
-81.905,-0.02680652100095812,0.09365883341696965
-81.904375,-0.0261371070967419,0.09298431036459895
-81.90375,-0.02848005576149868,0.09298431036459895
-81.903125,-0.03517419480366091,0.09298431036459895
-81.9025,-0.03316595309101224,0.0933215718907843
-81.901875,-0.03249653918679602,0.0933215718907843
-81.90125,-0.03417007394733658,0.0933215718907843
-81.90062500000001,-0.03684772956416251,0.0933215718907843
-81.90000000000001,-0.0378518504205112,0.0933215718907843
-81.89937500000001,-0.03584360870790636,0.0933215718907843
-81.89875000000001,-0.03785185042049659,0.09298431036460386
-81.89812499999999,-0.03550890175574467,0.09298431036459404
-81.89749999999999,-0.03383536699523334,0.09264704883841851
-81.89687499999999,-0.03417007394732197,0.09298431036460386
-81.89624999999999,-0.03316595309091483,0.09332157189078921
-81.895625,-0.02647181404885001,0.09365883341696965
-81.895,-0.02647181404885001,0.093996094943155
-81.894375,-0.02747593490517435,0.09433335646934035
-81.89375,-0.02714122795306623,0.09433335646934035
-81.893125,-0.02714122795306623,0.09433335646934035
-81.8925,-0.02714122795306623,0.09433335646934035
-81.891875,-0.02714122795306623,0.09433335646934035
-81.89125,-0.02680652100095812,0.0946706179955257
-81.890625,-0.02680652100095812,0.0946706179955257
-81.89,-0.02647181404885001,0.09500787952171105
-81.889375,-0.02680652100095812,0.0946706179955257
-81.88875,-0.02714122795306623,0.09433335646934035
-81.888125,-0.02647181404885001,0.09365883341696965
-81.8875,-0.02680652100095812,0.09298431036459895
-81.886875,-0.03350066004312036,0.0926470488384136
-81.88625,-0.03383536699522847,0.0926470488384136
-81.885625,-0.03216183223468791,0.0926470488384136
-81.88500000000001,-0.03216183223468791,0.09298431036459404
-81.88437500000001,-0.03283124613889439,0.09332157189077939
-81.88375000000001,-0.03350066004311061,0.09365883341696474
-81.88312500000001,-0.03417007394732684,0.09365883341696965
-81.88249999999999,-0.03383536699522847,0.09365883341696965
-81.88187499999999,-0.03383536699521385,0.09365883341696474
-81.88124999999999,-0.03283124613889439,0.0933215718907843
-81.88062499999999,-0.03216183223469765,0.09332157189077939
-81.88,-0.03283124613890413,0.09298431036459895
-81.879375,-0.0348394878515528,0.0926470488384136
-81.87875,-0.03316595309101224,0.09298431036459895
-81.878125,-0.02714122795306623,0.0933215718907843
-81.8775,-0.02747593490517435,0.09365883341696965
-81.876875,-0.02781064185728246,0.09433335646934035
-81.87625,-0.02747593490517435,0.09433335646934035
-81.875625,-0.02747593490517435,0.09365883341696965
-81.875,-0.02781064185728246,0.0933215718907843
-81.874375,-0.02814534880939057,0.09298431036459895
-81.87375,-0.02848005576149868,0.0926470488384136
-81.873125,-0.02848005576149868,0.0926470488384136
-81.8725,-0.02848005576149868,0.0926470488384136
-81.871875,-0.02814534880939057,0.09298431036459895
-81.87125,-0.02781064185728246,0.0933215718907843
-81.870625,-0.02714122795306623,0.09365883341696965
-81.87,-0.0261371070967419,0.0933215718907843
-81.86937500000001,-0.02781064185725811,0.0933215718907843
-81.86875000000001,-0.03517419480355376,0.09298431036460386
-81.86812500000001,-0.03417007394735119,0.09298431036459895
-81.86750000000001,-0.03283124613892362,0.09298431036459895
-81.86687499999999,-0.032831246138909,0.09332157189078921
-81.86624999999999,-0.03316595309102686,0.09365883341697456
-81.86562499999999,-0.03417007394735119,0.09399609494315991
-81.86499999999999,-0.03517419480365604,0.09433335646934035
-81.864375,-0.0348394878515528,0.09433335646934035
-81.86375,-0.03450478089944469,0.093996094943155
-81.863125,-0.03417007394733658,0.09365883341696965
-81.8625,-0.03383536699522847,0.09298431036459895
-81.861875,-0.0348394878515528,0.0926470488384136
-81.86125,-0.03584360870787714,0.0926470488384136
-81.860625,-0.03015359052203924,0.0926470488384136
-81.86,-0.02747593490517435,0.0926470488384136
-81.859375,-0.02714122795306623,0.09230978731222825
-81.85875,-0.02747593490517435,0.0926470488384136
-81.858125,-0.02781064185728246,0.0926470488384136
-81.8575,-0.02781064185728246,0.0926470488384136
-81.856875,-0.02781064185728246,0.09230978731222825
-81.85625,-0.02747593490517435,0.09230978731222825
-81.855625,-0.02781064185728246,0.09230978731222825
-81.855,-0.02747593490517435,0.0926470488384136
-81.854375,-0.02747593490517435,0.09298431036459895
-81.85375000000001,-0.02714122795307111,0.09332157189077939
