#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DiscoveryStudio
#Serial Number: SN:210384B8330D
#Date Time: 2026-04-13 15:44:07.213
#Sample rate: 1600Hz
#Samples: 7158
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-81.92,-0.01007117339555253,0.0164259439205244
-81.919375,-0.05693014669068819,0.09669418715263781
-81.91875,-0.04923188679220162,0.09669418715263781
-81.918125,-0.0432071616542556,0.09669418715263781
-81.9175,-0.04287245470214749,0.09770597173119386
-81.916875,-0.04354186860636371,0.09972954088830596
-81.91625000000001,-0.04220304079795075,0.1007413254668473
-81.91562500000001,-0.04119891994162155,0.1020903715715838
-81.91500000000001,-0.02647181404906432,0.1020903715716034
-81.91437500000001,-0.02412886538412732,0.1024276330977839
-81.91374999999999,-0.02412886538410784,0.1020903715715887
-81.91312499999999,-0.02513298624055881,0.1010785869930228
-81.91249999999999,-0.03483948785157716,0.09939227936209116
-81.91187499999999,-0.03651302261213232,0.09736871020498397
-81.91125,-0.03919067822895826,0.09568240257408175
-81.910625,-0.1339127456755539,0.0912980027336722
-81.91,-0.2001847221929601,0.08657634136707729
-81.909375,-0.06630194134971533,0.09062347968130149
-81.90875,-0.05626073278647196,0.09096074120748684
-81.908125,-0.05626073278647196,0.09096074120748684
-81.9075,-0.05659543973858008,0.09028621815511614
-81.906875,-0.05759956059490441,0.08994895662893079
-81.90625,-0.05860368145122875,0.08927443357656009
-81.905625,-0.06462840658917478,0.08927443357656009
-81.905,-0.06496311354128288,0.08927443357656009
-81.904375,-0.06094663011598554,0.08961169510274544
-81.90375,-0.08839260018885071,0.09062347968130149
-81.903125,-0.1931558761986897,0.08826264899800404
-81.9025,-0.05626073278647196,0.09500787952171105
-81.901875,-0.05124012850485029,0.09736871020500851
-81.90125,-0.04186833384582316,0.09804323325737921
-81.90062500000001,-0.0422030407979264,0.1004040639406423
-81.90000000000001,-0.04119891994162155,0.1010785869930376
-81.89937500000001,-0.04119891994160693,0.1017531100454083
-81.89875000000001,-0.04153362689371017,0.1020903715715985
-81.89812499999999,-0.04220304079792152,0.1024276330977888
-81.89749999999999,-0.04153362689371504,0.1024276330977937
-81.89687499999999,-0.04153362689371017,0.1027648946239643
-81.89624999999999,-0.04119891994165076,0.1020903715715887
-81.895625,-0.04421128251057994,0.1010785869930474
-81.895,-0.04421128251057994,0.09905501783593526
-81.894375,-0.04119891994160693,0.09669418715263781
-81.89375,-0.1867964441086356,0.08859991052418939
-81.893125,-0.1650404922216083,0.08792538747181869
-81.8925,-0.05525661193014763,0.0926470488384136
-81.891875,-0.05559131888225574,0.09163526425985755
-81.89125,-0.05592602583436385,0.0912980027336722
-81.890625,-0.05592602583436385,0.0912980027336722
-81.89,-0.05592602583436385,0.0912980027336722
-81.889375,-0.05559131888225574,0.09163526425985755
