Time (s),Channel 1 (V),Channel 2 (V)
-81.92,-0.01710001938982288,0.01204154408011485
-81.919375,-0.1155038633096078,0.07645849558151677
-81.91875,-0.04555011031901238,0.08320372610522378
-81.918125,-0.0515748354569584,0.06667791132214163
-81.9175,-0.05124012850485029,0.06465434216502952
-81.916875,-0.04990130069641784,0.06128172690317601
-81.91625000000001,-0.0472236450795919,0.06128172690317601
-81.91562500000001,-0.04956659374427563,0.05959541927227379
-81.91500000000001,-0.06496311354105884,0.05723458858898616
-81.91437500000001,-0.07567373600858661,0.05622280401041048
-81.91374999999999,-0.0750043221045165,0.05723458858897634
-81.91312499999999,-0.07433490820007135,0.05892089621992764
-81.91249999999999,-0.05793426754721222,0.06229351148173697
-81.91187499999999,-0.07165725258316262,0.06263077300791742
-81.91125,-0.05224424936117462,0.06263077300791742
-81.910625,-0.1044585338900401,0.06465434216502952
-81.91,-0.1094791381716618,0.06971326505780978
-81.909375,-0.1258797788249592,0.07510944947677539
-81.90875,-0.1198550536870132,0.07814480321244352
-81.908125,-0.1211938814954457,0.07780754168625817
-81.9075,-0.1171773980701483,0.07477218795059004
-81.906875,-0.06362428573285044,0.07747028016007282
-81.90625,-0.05927309535544498,0.07949384931718492
-81.905625,-0.04889717984009351,0.08118015694811168
-81.905,-0.06931430391868834,0.07848206473862887
-81.904375,-0.09508673923101295,0.07881932626481422
-81.90375,-0.119185639782797,0.07679575710770212
-81.903125,-0.06195075097230987,0.08219194152666773
-81.9025,-0.08671906542831016,0.06903874200543908
-81.901875,-0.05224424936117462,0.06768969590069768
-81.90125,-0.05124012850485029,0.06532886521740022
-81.90062500000001,-0.05057071460064381,0.06330529606031757
-81.90000000000001,-0.05090542155273731,0.06094446537702501
-81.89937500000001,-0.05157483545694866,0.06060720385081021
-81.89875000000001,-0.06228545792426212,0.06060720385080531
-81.89812499999999,-0.103454413033706,0.05824637316750786
-81.89749999999999,-0.1027849991293631,0.05824637316752258
-81.89687499999999,-0.093413204470224,0.05925815774607372
-81.89624999999999,-0.07634314991233038,0.05993268079843461
-81.895625,-0.03316595309101224,0.05993268079843461
-81.895,-0.0375171434684177,0.06128172690317601
-81.894375,-0.1021155852252833,0.06296803453410277
-81.89375,-0.1034544130337157,0.06499160369121487
-81.893125,-0.09977263656052653,0.06802695742688303
-81.8925,-0.1315697970107971,0.07409766489821934
-81.891875,-0.1355862804360945,0.07477218795059004
-81.89125,-0.137259815196635,0.07477218795059004
-81.890625,-0.1369251082445269,0.07477218795059004
-81.89,-0.1332433317713377,0.07544671100296071
-81.889375,-0.1034544130337157,0.07780754168625817
-81.88875,-0.1302309692023647,0.07510944947677539
-81.888125,-0.1288921413939322,0.07510944947677539
-81.8875,-0.06328957878074232,0.08556455678852123
-81.886875,-0.04956659374430973,0.08286646457903843
-81.88625,-0.04722364507955294,0.08050563389574097
-81.885625,-0.05124012850485029,0.07139957268873653
-81.88500000000001,-0.05157483545695353,0.06903874200547344
-81.88437500000001,-0.06362428573267509,0.06870148047925864
-81.88375000000001,-0.04990130069661754,0.06802695742689284
-81.88312500000001,-0.09709498094297488,0.06600338826980037
-81.88249999999999,-0.1305656761544582,0.06330529606027831
-81.88187499999999,-0.129561555298129,0.06263077300791742
-81.88124999999999,-0.1282227274896478,0.0626307730079125
-81.88062499999999,-0.123536830160183,0.06229351148173206
-81.88,-0.12219800235177,0.06229351148173206
-81.879375,-0.1215285884475538,0.06296803453410277
-81.87875,-0.1208591745433376,0.06364255758647347
-81.878125,-0.1054626547463644,0.06364255758647347
-81.8775,-0.09943792960841841,0.06161898842936136
-81.876875,-0.1007767574168509,0.06296803453410277
-81.87625,-0.1014461713210671,0.06431708063884417
-81.875625,-0.1001073435126346,0.06735243437451233
-81.875,-0.1004420504647427,0.06971326505780978
-81.874375,-0.1014461713210671,0.07106231116255118
-81.87375,-0.1021155852252833,0.07173683421492189
-81.873125,-0.1021155852252833,0.07207409574110724
-81.8725,-0.1021155852252833,0.07241135726729259
-81.871875,-0.1021155852252833,0.07241135726729259
-81.87125,-0.1021155852252833,0.07207409574110724
-81.870625,-0.1027849991294995,0.07173683421492189
-81.87,-0.1044585338900401,0.07139957268873653
-81.86937500000001,-0.1057973616984531,0.0710623111625561
-81.86875000000001,-0.106466775602679,0.07005052658400986
-81.86812500000001,-0.106801482554792,0.06836421895309291
-81.86750000000001,-0.1051279477942807,0.06701517284834661
-81.86687499999999,-0.1037891199858093,0.06499160369118542
-81.86624999999999,-0.1027849991294898,0.06296803453408313
-81.86562499999999,-0.1021155852252248,0.06161898842934663
-81.86499999999999,-0.09809910180025871,0.06060720385082003
-81.864375,-0.1168426911180402,0.06161898842936136
-81.86375,-0.12219800235177,0.06094446537699066
-81.863125,-0.1225327093038781,0.06060720385080531
-81.8625,-0.1242062440644187,0.06094446537699066
-81.861875,-0.1248756579686349,0.06128172690317601
-81.86125,-0.1248756579686349,0.06161898842936136
-81.860625,-0.1248756579686349,0.06263077300791742
-81.86,-0.0991032226563103,0.06263077300791742
-81.859375,-0.1024502921773914,0.06465434216502952
-81.85875,-0.1037891199858239,0.06768969590069768
-81.858125,-0.1044585338900401,0.07005052658399513
-81.8575,-0.1037891199858239,0.07173683421492189
-81.856875,-0.1034544130337157,0.07207409574110724
-81.85625,-0.1031197060816076,0.07139957268873653
-81.855625,-0.1037891199858239,0.07038778811018048
-81.855,-0.1044585338900401,0.06937600353162443
-81.854375,-0.1051279477942563,0.06870148047925373
-81.85375000000001,-0.106132068650566,0.06836421895307329
-81.85312500000001,-0.1068014825547871,0.06903874200542927
-81.85250000000001,-0.1064667756026936,0.06937600353161952
-81.85187500000001,-0.105462654746379,0.07005052658398532
-81.85124999999999,-0.1037891199858531,0.06971326505778033
-81.85062499999999,-0.1057973616984579,0.06768969590065842
-81.84999999999999,-0.1047932408420946,0.06499160369119523
-81.84937499999999,-0.1011114643689444,0.06364255758644893
-81.84875,-0.1001073435126346,0.06195624995554671
-81.848125,-0.1004420504647427,0.06026994232461996
-81.8475,-0.09742968789576974,0.05892089621987856
-81.846875,-0.06328957878074232,0.05723458858895181
-81.84625,-0.03417007394733658,0.05554828095802505
-81.845625,-0.04186833384582316,0.05554828095802505
-81.845,-0.04387657555847183,0.05487375790565435
-81.844375,-0.04488069641479616,0.05487375790565435
